class,value0,value1,value2
0,0.4633431085043988,0.016617790811339198,0.49266862170087977
0,0.4682306940371456,0.015640273704789834,0.49560117302052786
1,0.0,0.6480938416422287,0.3782991202346041
1,0.0,0.6510263929618768,0.38025415444770283
2,0.530791788856305,0.0,0.0
2,0.5474095796676441,0.0,0.0
3,0.4232649071358749,0.8152492668621701,0.49560117302052786
3,0.426197458455523,0.8152492668621701,0.501466275659824
0,0.5024437927663734,0.021505376344086023,0.5777126099706745
0,0.509286412512219,0.02737047898338221,0.5826001955034213
1,0.0,0.8172043010752689,0.6871945259042033
1,0.0,0.8250244379276638,0.7008797653958945
2,0.6344086021505376,0.0,0.0
2,0.6363636363636364,0.0,0.0
3,0.39882697947214074,0.804496578690127,0.6598240469208211
3,0.4027370478983382,0.804496578690127,0.6588465298142717
0,0.46529814271749753,0.07331378299120235,0.41837732160312807
0,0.48191593352883677,0.0772238514173998,0.4418377321603128
1,0.0,0.4310850439882698,0.6539589442815249
1,0.0,0.4359726295210166,0.6647116324535679
2,0.4858260019550342,0.0,0.0
2,0.4887585532746823,0.0,0.0
3,0.47996089931573804,0.8396871945259042,0.37732160312805474
3,0.49071358748778104,0.841642228739003,0.39882697947214074
0,0.530791788856305,0.01466275659824047,0.46236559139784944
0,0.5210166177908113,0.015640273704789834,0.43304007820136853
1,0.0,0.6871945259042033,0.7038123167155426
1,0.0,0.7605083088954057,0.7321603128054741
2,0.4574780058651026,0.039100684261974585,0.0
2,0.47214076246334313,0.04007820136852395,0.0
3,0.3655913978494624,0.8289345063538612,0.5904203323558163
3,0.3724340175953079,0.8269794721407625,0.5767350928641252
0,0.38807429130009774,0.1827956989247312,0.3978494623655914
0,0.40175953079178883,0.198435972629521,0.4125122189638319
1,0.033235581622678395,0.5992179863147605,0.2482893450635386
1,0.03714565004887586,0.5972629521016618,0.2404692082111437
2,0.7174975562072337,0.0,0.0
2,0.08993157380254155,0.0009775171065493646,0.0
3,0.5317693059628543,0.8220918866080157,0.38220918866080156
3,0.530791788856305,0.823069403714565,0.39002932551319647
0,0.5210166177908113,0.18181818181818182,0.6148582600195504
0,0.5298142717497556,0.18572825024437928,0.6197458455522972
1,0.0,0.03225806451612903,0.8035190615835777
1,0.0,0.02541544477028348,0.804496578690127
2,0.8093841642228738,0.0,0.0
2,0.8142717497556208,0.0,0.0
3,0.4232649071358749,0.8132942326490714,0.4916911045943304
3,0.4252199413489736,0.8142717497556208,0.49853372434017595
0,0.6842619745845552,0.4555229716520039,0.5268817204301075
0,0.6862170087976539,0.458455522971652,0.530791788856305
1,0.0,0.5102639296187683,0.7126099706744868
1,0.0,0.512218963831867,0.7106549364613881
2,0.6989247311827957,0.0,0.0
2,0.7018572825024438,0.0,0.0
3,0.5151515151515151,0.8367546432062561,0.31867057673509286
3,0.5141739980449658,0.8377321603128055,0.3235581622678397
0,0.5278592375366569,0.5210166177908113,0.5786901270772239
0,0.5483870967741935,0.0019550342130987292,0.7478005865102639
1,0.0,0.0009775171065493646,0.8113391984359726
1,0.0009775171065493646,0.0,0.8113391984359726
2,0.7311827956989247,0.0,0.0
2,0.7096774193548387,0.0,0.0
3,0.38220918866080156,0.844574780058651,0.44868035190615835
3,0.38025415444770283,0.8455522971652004,0.44868035190615835
0,0.46725317693059626,0.03812316715542522,0.34701857282502446
0,0.47116324535679377,0.043010752688172046,0.35288367546432065
1,0.0,0.3411534701857282,0.6647116324535679
1,0.0,0.35386119257087,0.6695992179863147
2,0.46529814271749753,0.7478005865102639,0.0
2,0.46725317693059626,0.7487781036168133,0.0
3,0.4789833822091887,0.8435972629521017,0.3519061583577713
3,0.48289345063538613,0.8435972629521017,0.3304007820136852
0,0.4916911045943304,0.48484848484848486,0.7790811339198436
0,0.49266862170087977,0.4838709677419355,0.7800586510263929
1,0.0009775171065493646,0.7253176930596286,0.8905180840664711
1,0.0009775171065493646,0.7262952101661779,0.8914956011730205
2,0.7468230694037146,0.0,0.0
2,0.7487781036168133,0.0,0.0
3,0.4858260019550342,0.8484848484848485,0.3098729227761486
3,0.4897360703812317,0.8504398826979472,0.3235581622678397
0,0.5063538611925709,0.13685239491691104,0.4946236559139785
0,0.5073313782991202,0.1495601173020528,0.49266862170087977
1,0.011730205278592375,0.6226783968719453,0.5063538611925709
1,0.0039100684261974585,0.6177908113391984,0.5024437927663734
2,0.4760508308895406,0.0,0.0
2,0.47409579667644186,0.0,0.0009775171065493646
3,0.49266862170087977,0.8299120234604106,0.3479960899315738
3,0.49560117302052786,0.8318670576735093,0.36070381231671556
0,0.5259042033235581,0.0,0.2981427174975562
0,0.5376344086021505,0.002932551319648094,0.30009775171065495
1,0.0,0.6920821114369502,0.5767350928641252
