class,value0,value1,value2
3,0.6070381231671554,0.8211143695014663,0.5043988269794721
3,0.6011730205278593,0.823069403714565,0.5043988269794721
2,0.10557184750733138,0.8504398826979472,0.15835777126099707
2,0.12805474095796676,0.8563049853372434,0.1906158357771261
0,0.47996089931573804,0.017595307917888565,0.592375366568915
0,0.4916911045943304,0.1270772238514174,0.5913978494623656
1,0.033235581622678395,0.6598240469208211,0.6842619745845552
1,0.033235581622678395,0.6647116324535679,0.6862170087976539
3,0.29227761485826004,0.8260019550342131,0.6871945259042033
3,0.2825024437927664,0.8260019550342131,0.6813294232649071
2,0.03812316715542522,0.8699902248289345,0.3235581622678397
2,0.03812316715542522,0.8699902248289345,0.3362658846529814
0,0.5434995112414467,0.002932551319648094,0.48484848484848486
0,0.5386119257086999,0.002932551319648094,0.48191593352883677
1,0.02346041055718475,0.45161290322580644,0.5953079178885631
1,0.022482893450635387,0.4525904203323558,0.5953079178885631
3,0.13196480938416422,0.8357771260997068,0.6793743890518084
3,0.14271749755620725,0.8367546432062561,0.6920821114369502
2,0.5894428152492669,0.0,0.0
2,0.5992179863147605,0.0009775171065493646,0.0
0,0.6774193548387096,0.5493646138807429,0.5757575757575758
0,0.6559139784946236,0.5151515151515151,0.5835777126099707
1,0.0801564027370479,0.6823069403714564,0.7888563049853372
1,0.1544477028347996,0.696969696969697,0.7194525904203324
2,0.5806451612903226,0.0,0.18084066471163246
2,0.5953079178885631,0.5532746823069403,0.26392961876832843
3,0.7350928641251222,0.5112414467253177,0.5532746823069403
3,0.7214076246334311,0.7634408602150538,0.36656891495601174
0,0.6959921798631477,0.22482893450635386,0.4310850439882698
0,0.7018572825024438,0.2512218963831867,0.45356793743890517
1,0.8025415444770283,0.4887585532746823,0.3597262952101662
1,0.8123167155425219,0.5161290322580645,0.3782991202346041
2,0.3118279569892473,0.0019550342130987292,0.5894428152492669
2,0.4340175953079179,0.002932551319648094,0.5239491691104594
3,0.5777126099706745,0.7585532746823069,0.4389051808406647
3,0.581622678396872,0.7565982404692082,0.4389051808406647
0,0.7135874877810362,0.5366568914956011,0.45454545454545453
0,0.70772238514174,0.4604105571847507,0.47214076246334313
1,0.8181818181818182,0.7096774193548387,0.30498533724340177
2,0.5483870967741935,0.0,0.5806451612903226
3,0.6402737047898338,0.4447702834799609,0.20625610948191594
3,0.6647116324535679,0.5347018572825024,0.34017595307917886
0,0.5151515151515151,0.03421309872922776,0.5738025415444771
0,0.5650048875855328,0.03812316715542522,0.5786901270772239
1,0.4389051808406647,0.0,0.581622678396872
1,0.5268817204301075,0.0009775171065493646,0.5190615835777126
2,0.5806451612903226,0.0,0.36363636363636365
2,0.5757575757575758,0.0,0.3519061583577713
3,0.5405669599217986,0.6295210166177908,0.46432062561094817
3,0.5356793743890518,0.6412512218963832,0.5298142717497556
0,0.4291300097751711,0.006842619745845552,0.7096774193548387
0,0.44379276637341153,0.005865102639296188,0.7321603128054741
1,0.7605083088954057,0.13587487781036167,0.29227761485826004
1,0.7556207233626588,0.14271749755620725,0.3313782991202346
2,0.5161290322580645,0.0009775171065493646,0.31378299120234604
2,0.5356793743890518,0.0,0.2825024437927664
3,0.5151515151515151,0.782991202346041,0.5395894428152492
3,0.5112414467253177,0.7839687194525904,0.544477028347996
